1980-10-10,昭和55年,体育の日
1980-11-03,昭和55年,文化の日
1980-11-23,昭和55年,勤労感謝の日
1980-11-24,昭和55年,振替休日
1981-01-01,昭和56年,元日
1981-01-15,昭和56年,成人の日
1981-02-11,昭和56年,建国記念の日
1981-03-21,昭和56年,春分の日
1981-04-29,昭和56年,天皇誕生日
1981-05-03,昭和56年,憲法記念日
1981-05-04,昭和56年,振替休日
1981-05-05,昭和56年,こどもの日
1981-09-15,昭和56年,敬老の日
1981-09-23,昭和56年,秋分の日
1981-10-10,昭和56年,体育の日
1981-11-03,昭和56年,文化の日
1981-11-23,昭和56年,勤労感謝の日
1982-01-01,昭和57年,元日
1982-01-15,昭和57年,成人の日
1982-02-11,昭和57年,建国記念の日
1982-03-21,昭和57年,春分の日
1982-03-22,昭和57年,振替休日
1982-04-29,昭和57年,天皇誕生日
1982-05-03,昭和57年,憲法記念日
1982-05-05,昭和57年,こどもの日
1982-09-15,昭和57年,敬老の日
1982-09-23,昭和57年,秋分の日
1982-10-10,昭和57年,体育の日
1982-10-11,昭和57年,振替休日
1982-11-03,昭和57年,文化の日
1982-11-23,昭和57年,勤労感謝の日
1983-01-01,昭和58年,元日
1983-01-15,昭和58年,成人の日
1983-02-11,昭和58年,建国記念の日
1983-03-21,昭和58年,春分の日
1983-04-29,昭和58年,天皇誕生日
1983-05-03,昭和58年,憲法記念日
1983-05-05,昭和58年,こどもの日
1983-09-15,昭和58年,敬老の日
1983-09-23,昭和58年,秋分の日
1983-10-10,昭和58年,体育の日
1983-11-03,昭和58年,文化の日
1983-11-23,昭和58年,勤労感謝の日
1984-01-01,昭和59年,元日
1984-01-02,昭和59年,振替休日
1984-01-15,昭和59年,成人の日
1984-01-16,昭和59年,振替休日
1984-02-11,昭和59年,建国記念の日
1984-03-20,昭和59年,春分の日
1984-04-29,昭和59年,天皇誕生日
1984-04-30,昭和59年,振替休日
1984-05-03,昭和59年,憲法記念日
1984-05-05,昭和59年,こどもの日
1984-09-15,昭和59年,敬老の日
1984-09-23,昭和59年,秋分の日
1984-09-24,昭和59年,振替休日
1984-10-10,昭和59年,体育の日
1984-11-03,昭和59年,文化の日
1984-11-23,昭和59年,勤労感謝の日
1985-01-01,昭和60年,元日
1985-01-15,昭和60年,成人の日
1985-02-11,昭和60年,建国記念の日
1985-03-21,昭和60年,春分の日
1985-04-29,昭和60年,天皇誕生日
1985-05-03,昭和60年,憲法記念日
1985-05-05,昭和60年,こどもの日
1985-05-06,昭和60年,振替休日
1985-09-15,昭和60年,敬老の日
1985-09-16,昭和60年,振替休日
1985-09-23,昭和60年,秋分の日
1985-10-10,昭和60年,体育の日
1985-11-03,昭和60年,文化の日
1985-11-04,昭和60年,振替休日
1985-11-23,昭和60年,勤労感謝の日
1986-01-01,昭和61年,元日
1986-01-15,昭和61年,成人の日
1986-02-11,昭和61年,建国記念の日
1986-03-21,昭和61年,春分の日
1986-04-29,昭和61年,天皇誕生日
1986-05-03,昭和61年,憲法記念日
1986-05-05,昭和61年,こどもの日
1986-09-15,昭和61年,敬老の日
1986-09-23,昭和61年,秋分の日
1986-10-10,昭和61年,体育の日
1986-11-03,昭和61年,文化の日
1986-11-23,昭和61年,勤労感謝の日
1986-11-24,昭和61年,振替休日
1987-01-01,昭和62年,元日
